Row Number,Artist Names,Track Names
604,Global Dan,For A Reason
605,"Oklou, A. G. Cook",fall - A. G. Cook Remix
606,"Global Dan, Global AzN",Poison
607,Tory Lanez,Who Needs Love
608,Capstan,Stars Before The Sun
609,916frosty,waiting
610,Capstan,Wax Poetic
611,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds
612,convolk,tie me to the train tracks
613,King Theta,Shadow
614,"sober rob, Trevor Daniel",Gone
615,Sevdaliza,Wallflower
616,Kid Cudi,Soundtrack 2 My Life
617,Teddy,Foreign Banz
618,Zac Greer,crazy
619,Arizona Zervas,ROXANNE
620,"nothing,nowhere.",hammer
621,"Flowars, guardin",bloodsucker
622,Bon Iver,"Hey, Ma"
623,Lil Uzi Vert,Money Longer
624,"Drake, Future",Plastic Bag
625,Naïka,Sauce
626,fats'e,blind in the spotlight
627,"Oklou, Casey MQ",Lurk
628,juno,karma
629,"Travis Scott, Lil Uzi Vert, Kanye West",Watch (feat. Lil Uzi Vert & Kanye West)
630,POORSTACY,make up
631,Aries,RACECAR
632,BROHUG,Stockholm
633,"Young Thug, Travis Scott",pick up the phone
634,Prettyboy D-O,Toyin Tomato
635,Verzache,Needs
636,convolk,-_-uncertain-_-
637,Drake,5 Am in Toronto
638,Fuego,Una Vaina Loca
639,"King Theta, Jakkyboí",Without You
640,"Spooky Boi, Effy",Crash
641,"JERHELL, JADY",Vulnerable
642,"21 Savage, Metro Boomin, Drake",Mr. Right Now (feat. Drake)
643,Dear and the Headlights,Sweet Talk
644,Kanye West,Wolves
645,Lil Uzi Vert,XO Tour Llif3
646,Juice WRLD,Robbery
647,"bahama john, Shrimp",Nite Lite
648,"Syn Cole, kirstin",Got the Feeling
649,Drake,Hotline Bling
650,"T-Pain, Mike Jones",I'm N Luv (Wit a Stripper) (feat. Mike Jones)
651,Lil Uzi Vert,Celebration Station
652,Good Kid,Everything Everything
653,"Eminem, Dido",Stan
654,"Choomba, Blush'ko, LP Giobbi",Say It (feat. LP Giobbi & Blush'ko)
655,"Prettyboy D-O, WANI",Mentally
656,Ferdous,Counting Stars
657,Pop Smoke,Flexin'
658,guardin,Solitary
659,Freddie Sunshine,Sun and The Moon
660,"Juice WRLD, Seezyn",Hide (feat. Seezyn)
